to adabdon to	từ bỏ;bỏ;ruồng bỏ;bỏ lại
harden to	chai sạn;vô cảm;thờ ơ
as mad as a March hare	cuống lên như thỏ;phát điên phát dại;hóa điên hóa dại 
hare-brained	điên rồ;thiếu suy nghĩ
first catch your hare then cook him	chưa đẻ chớ vội đặt tên;chưa có trong tay đừng nói chắc 
raise a hare	đưa một vấn đề để làm sôi nổi;đưa một vấn đề để đánh lạc hướng
start a hare	đưa một vấn đề để làm sôi nổi;đưa một vấn đề để đánh lạc hướng
run with the hare and hunt with the hounds	bắt cá hai tay;theo hai phe
not harm a fly	tử tế;hiền lành;không gây hại cho
not hurt a fly	tử tế;hiền lành;không gây hại cho

comt to no harm	không bị hãm hại;không bị xúc phạm;không bị phiền hà 
do more harm than good	có ảnh hưởng tai hại hơn là lợi ích;có hại hơn nhiều là có lợi 
mean no harm to	không có ý muốn làm hại
out of harm's way	một nơi an toàn 
there is no harm in	cũng chẳng hại gì
harmful to	có hại cho;gây hại cho 
harmonize with	hòa âm với 
harmonize with	hài hòa với
in harmony with	hài hòa;hòa thuận;hòa hợp 
harp on	lải nhải;dài dòng;nói đi nói lại 
harp about	lải nhải;dài dòng;nói đi nói lại 
harp on one's string	vẫn giọng ấy;vẫn điệu ấy
has-been	người hết thời;người nổi tiếng một thời;đồ hết thời
in haste	nhanh;mau lẹ;vội vàng 
make haste	gấp lên;mau lên;nhanh lên 
haste makes waste	dục tốc bất đạt 
more haste, less speed	chậm mà chắc
with all haste	càng nhanh càng tốt 
a bad hat	người xấu;người bần tiện 
at the drop of a hat	không chậm trễ;không chần chừ;không có lý do đúng đắn;nếu không có lý do chính đáng 
his hat covers his family	sống độc thân;không có bà con thân thích
I'll eat my hat	xin lấy chân làm đầu;không bao giờ có chuyên đó được;không bao giờ xảy ra
go round with the hat	quyên góp tiền;ủng hộ tiền 
send round the hat	quyên góp tiền;ủng hộ tiền 
keep under one's hat	dựa vào;lệ thuộc vào;phụ thuộc vào 
keep under one's hat	giữ bí mật
knock into a cocked hat	đánh nhừ tử;đánh tơ bời 
take one's heat off to	thán phục;khâm phục 
talk through one's hat	huênh hoang;khoác lác 
throw one's hat into the ring	nhận lời thách thức 
with one's hat in one's hand	khúm núm;quy lụy 
hatch out	làm nở 
hatch plot out	ngấm ngầm lập mưu tính kế;ủ mưu;bày trò
hatch plot up	ngấm ngầm lập mưu tính kế;ủ mưu;bày trò
hate each other like poison	ghét cay ghét đắng;ghét nhau như đào đất đổ đi 
hat one's guts	ghét cay ghét đắng
hat to do	rất tiếc;lấy làm tiếc 
haul at	kéo mạnh;lôi mạnh;giật mạnh
haul at	xoay hướng;đổi hướng 
haul down ơn's flag	đầu hàng 
haul down ơn's colours	đầu hàng 
haul off	xoay hướng;rút lui;lui binh;lui quân
haul over the coals	mắng nhiếc;chửi bới thậm tệ;kiểm tra kỹ lưỡng;thẩm tra kỹ
hault up before	đưa ra xét xử
hault up on	đưa ra xét xử
have a bee in one's bonnet	ám ảnh đầu óc;nung nấu một ý tưởng 
have a bearing on	có liên quan tới;ảnh hưởng tới;ảnh hưởng đến
have a big mouth	ba hoa;nói nhiều
have a bone to pick with	có khúc mắc với
have a crush on	say mê;phải lòng
have a distaste for	không ưu;ghê tởm 
have a drop too much	quá chén;say khướt;say mềm
have a drop in one's eyes	có vẻ ngà ngà say 
have a face as long as a fiddle	trông buồn thảm;trông sầu não
have a fat change	gặp đen đủi;gặp sự không may
have a fear of	sợ hãi;ghê sợ 
have a field-day	thành công lớn;có cơ hội thuận lợi
have a fine ear for music	có tai sành nhạc;có khả năng nghe nhạc tốt 
have a good ear for music	có tai sành nhạc;có khả năng nghe nhạc tốt 
have a finger in the pie	có dánh dáng đến;có nhúng tay vào;có liên đới;có liên quan
get a finger in the pie	có dánh dáng đến;có nhúng tay vào;có liên đới;có liên quan
have a fling at	trêu chọc;nói xỏ;đá xoáy;chế nhạo;thử làm;cố gắng làm
have a free hand	được tự do hành động;được hành động theo ý mình 
have a gift for	được trời phú cho 
have a glance at	nhìn qua;nhìn thoáng qua 
have a go at	cố gắng;đạt tới
have a good case	có chứng cớ là mình đúng;sẽ đúng
have a strong case	có chứng cớ là mình đúng;sẽ đúng
have a good command of	tinh thông;thông thạo;thành thạo;nắm vững
have a good hand	có ưu thế;có khả năng thắng lợi 
have a good head for	có năng khiếu
have a good laught at	được cười một trận thỏa thích
have a good mind to	có ý muốn;mong muốn
have a good name for	có tiếng tốt;có danh tiếng về;nổi tiếng về
have a good nose for	thính mũi;sành sỏi về 
have a good old times	nghỉ rất thoải mái 
have a fine old times	nghỉ rất thoải mái 
have a high old times	nghỉ rất thoải mái 
have a good press	được báo chí ca ngợi;báo chí đánh giá cao;báo chí ca ngợi 
have a good time	vui chơi thỏa thích;tận hưởng kỳ nghỉ
have a great regard for	rất kính mến
have a green thumb	có khả năng về trồng trọt;thông thạo về cây trồng
have a green fingers	có khả năng về trồng trọt;thông thạo về cây trồng
have a hand in	tham gia vào;tham dự;tham gia;nhúng tay vào;can dự vào 
have a hand like a foot	lóng ngóng;hậu đậu 
have a head on one's shoulders	thông minh;có khả năng;có đầu óc sáng suốt;có uy suy xét thực tế 
have a heart	thông cảm;có cảm tình;ân cần;quan tâm
have a level head	bình tĩnh;điềm đạm 
have a long face	chán nản;buồn xỉu;buồn dài cả mặt;xị cái mặt ra 
have a long head	lanh lợi;láu lỉnh;nhìn xa thấy rộng;nhìn xa trông rộng 
have a long run	diễn ra trong thời gian dài 
have a long tongue	nhiều lời;hay nói;ăn nói ba hoa;phát ngôn bừa bãi 
have a loose tongue	nhiều lời;hay nói;ăn nói ba hoa;phát ngôn bừa bãi 
have a long wind	dài hơi;có thể chạy lâu không nghỉ;có thể nói liên miên không nghỉ 
have a lot on the ball	có khả năng;khéo léo 
have a plenty on the ball	có khả năng;khéo léo 
have a monkey on one's back	nghiện ngập;nghiện thuốc phiện;nghiện ma túy
have a name for	nổi tiếng vì;nổi tiếng về
have a narrow escape	suýt nữa thì bị tóm;may mà thoát được 
have a hearbreath escape	suýt nữa thì bị tóm;may mà thoát được 
have a nice lie-in	ngủ dậy muộn
have a place in	chiếm một vị trí trong;chiếm một phần trong 
have a poor hand	chơi bài thua;thua bài
have a bad hand	chơi bài thua;thua bài
have a power of work to	có nhiều việc phải
have a prejudice against	có thành kiến với
have a quick tongue	lém lỉnh;nhanh mồm nhanh miệng 
have a quite read	có thời gian yên tĩnh để đọc 
have a rage for	ham mê;đam mê;thích thú 
have a ready pen	viết lưu loát
have a ready wit	nhanh trí 
have a right to	có quyền hưởng 
have a rod in pickle for	sẵn sàng nện cho một trận 
have a rough time	bị ngược đãi;bị đối xử thô bạo;gặp khó khăn gian khổ 
have a row with	đánh lộn với;ẩu đả với
have a royal time	hưởng một thời gian vui đùa 
have a run for one's money	được thỏa mãn hoàn toàn về số tiền bỏ ra;đáng đồng tiền bát gạo 
have a rush for done	vội làm cho xong 
have a say in	tham gia vào;có quyền về;có tiếng nói;có quyền ăn nói 
have a score to settle with	trả đũa;trả thù;có việc phải thanh toán
have a screw loose	gàn dở
have a screw missing	gàn dở
have a sharp eye for	theo dõi chặt chẽ;quan sát;nhìn chăm chú 
keep a sharp eye for	theo dõi chặt chẽ;quan sát;nhìn chăm chú 
have a shoot at	thử làm
take a shoot at	thử làm
have a sight of	hiện ra trước mắt;bắt đầu nhìn thấy 
have a soft spot for	có cảm tình;có thiện chí;say mê;thích thú
have a warm corner for	có cảm tình;có thiện chí;say mê;thích thú
have a stake in	đóng góp công sức;đóng góp tiền bạc 
have a stiff neck	bướng bỉnh;cứng đầu cứng cổ;ngoan cố 
have a trak of bad luck	gặp hạn;gặp vận rủi
have a sweet tooth	thích ăn của ngọt 
hvae a tender heart	có trái tim dễ xúc động;có trái tim nhạy cảm;có trái tim mềm yếu 
have a thing about	cảm thấy sợ hãi;ghét cay ghét đắng 
have this thing about	cảm thấy sợ hãi;ghét cay ghét đắng 
have a tile loose	mắc bệnh loạn óc;mất trí;ngớ ngẩn 
have a tile missing	mắc bệnh loạn óc;mất trí;ngớ ngẩn 
have a time doing	gặp khó khăn trong lúc
have a way with	có cách ăn nói;biết cách cư xử 
have a word with	nói chuyện với;thảo luận với 
have words with	nói chuyện một cách bực tức;trách móc;khiển trách
have about	lo âu;chưa tin tưởng;do dự
have about one	mang theo;cầm theo
have across to	có thể lui tới được;được gần gũi;được gặp gỡ
have all one's goods in the window	bày ra hết để phô trương;tỏ ra hời hợt;tỏ ra nông cạn 
keep all one's goods in the window	bày ra hết để phô trương;tỏ ra hời hợt;tỏ ra nông cạn 
put all one's goods in the window	bày ra hết để phô trương;tỏ ra hời hợt;tỏ ra nông cạn 
have an affair with	có việc giao thiệp với;có quan hệ không bình thường;quan hệ bất chính với;lăng nhăng;bồ bịch với 
have an axe to grind	có một mục đích các nhân phải đạt
have an ear for	có tai sành nghe;sành nghe 
have an ear to the ground	chú ý đến dư luận;theo dõi thận trọng;theo dõi diễn biến;thính với 
hold an ear to the ground	chú ý đến dư luận;theo dõi thận trọng;theo dõi diễn biến;thính với 
keep an ear to the ground	chú ý đến dư luận;theo dõi thận trọng;theo dõi diễn biến;thính với 
have an effect on	ảnh hưởng tới;tác động tới;ảnh hưởng đến 
have impact upon	ảnh hưởng tới;tác động tới;ảnh hưởng đến 
have an eye for	có mắt tinh đời về;rất tinh vi;đánh giá đúng 
have an eye to	theo dõi;chú ý đến;nhòm ngó vào;trong đợi 
keep an eye on	theo dõi;chú ý đến;nhòm ngó vào;trong đợi 
have an eye to everything	chú ý từng ly từng tý
have an itch to	rất mong muốn;nóng lòng muốn;mong muốn
have an itching palm	ăn hối lộ;tham ô;tham lam;tham nhũng;nhận hối lộ 
have an oar in every man's boat	hay thích can thiệp vào chuyện của người khác
have an old hand at	lão luyện 
have an open hand	hào phóng;rộng rãi;rộng lượng
have another card up one's sleeve	có sự dự phòng;có phương án dự phòng;có phương kế dự phòng 
have aroud	thiết đãi tại nhà
have over	thiết đãi tại nhà
have round	thiết đãi tại nhà
have at one's finger-tips	sẵn có;đủ dùng ngay;biết rõ như lòng bàn tay;nắm rõ như lòng bàn tay 
have at one's finger-ends	sẵn có;đủ dùng ngay;biết rõ như lòng bàn tay;nắm rõ như lòng bàn tay 
have back	hoàn lại;trả lại
have back	cho phép trở về 
have by	có con với
have charge of	đảm nhiệm;phụ trách;gánh vác trách nhiệm
take charge of	đảm nhiệm;phụ trách;gánh vác trách nhiệm
in charge of	đảm nhiệm;phụ trách;gánh vác trách nhiệm
have cold feet	hèn nhát;trốn tránh trách nhiệm;không dám ra trận;sợ hãi;không dám đương đầu với khó khăn
have compassion on	rủ lòng thương;thương hại
have pity on	rủ lòng thương;thương hại
have concern with	có liên quan đến;có dính líu đến
have confidence in	tin cậy;tin tưởng
have control of	kiểm soát;hướng dẫn;ra lệnh cho
have control over	ra lệnh cho
have dealing with	có quan hệ vowislgiao du với;giao thiệp với;thông đồng với;đi đêm với
have doubles about	có ý nghi ngờ 
have everything in common with	có chung tất cả mọi thứ với
have eyes at the back of one's head	có mắt rất tinh;nhìn thấy tất cả;nhận rõ tất cả
have feet of clay	có chân đát sét;dễ bị lật đổ;ở thế không vững;yếu đuối;yếu hèn
have good grounds for	có đủ lý do để
have got to	phải;nên;hãy
have good time	có thời gian thư giãn
have great time	có thời gian thư giãn
have had it	mệt mỏi vì;đã chán;chán chường
have had one's day	thời kỳ thanh xuân đã qua rồi;đã hết thời;đã quá thời;đã già đi
have half a mind to	miễn cưỡng làm
have in	có người trong nhà làm việc
have in hand	nắm chắc trong tay
have well in hand	nắm chắc trong tay
have it away with	ve vãn;ăn nằm;ngoại tình;thông dâm;bồ bịch 
have it off with	ve vãn;ăn nằm;ngoại tình;thông dâm;bồ bịch 
have in mind	dự định;dự kiến
have it in for	giận;bực mình với;thù ghét
have it in one to	có khả năng;có tài năng
have it out with	trao đổi;tranh cãi trắng đen;thanh toán
have it thatn	cho rằng;nói rằng
rumour has it that	có tin đồn rằng 
have long ears	ngu đền;đần độn 
have long hands	có ảnh hưởng;có thế lực;có ô dù 
have lost one's tongue	rụt rè;ít nói;kiệm lời 
have many irons in the fire	có nhiều cùng lúc;ôm một đống việc
